id,code,uic,name_short,name_medium,name_long,slug,country,type,geo_lat,geo_lng,province
710,LNK,8822343,Nekkersp,Mech-Nekkerspoel,Mechelen-Nekkerspoel,mechelen-nekkerspoel,B,stoptreinstation,51.03,4.49,
331,MES,8400434,Meerssen,Meerssen,Meerssen,meerssen,NL,sneltreinstation,50.8828793926,5.75099945068,Limburg
789,LM,8894755,Melsele,Melsele,Melsele,melsele,B,stoptreinstation,51.210556,4.286667,
337,MP,8400435,Meppel,Meppel,Meppel,meppel,NL,knooppuntStoptreinstation,52.6908340454,6.19750022888,Drenthe
629,EMTE,8021151,Metelen L.,Metelen Land,Metelen Land,metelen-land,D,stoptreinstation,52.162444,7.254423,
329,MDB,8400436,Middelburg,Middelburg,Middelburg,middelburg,NL,stoptreinstation,51.494720459,3.61722230911,Zeeland
774,BLTM,8841665,Milmort,Milmort,Milmort,milmort,B,stoptreinstation,50.69301,5.59983,
334,MINDEN,8013578,Minden,Minden (Westf.),Minden (Westf.),minden-westf,D,stoptreinstation,52.290138,8.934728,
328,MCGB,8015165,Mönchengl,Mönchengladbach,Mönchengladbach Hbf,monchengladbach-hbf,D,knooppuntIntercitystation,51.196583,6.446111,
630,KMB,8019585,Montabaur,Montabaur,Montabaur,montabaur,D,intercitystation,50.444834,7.825333,
335,MMLH,8400446,Mook Molen,Molenhoek,Mook Molenhoek,mook-molenhoek,NL,stoptreinstation,51.77158,5.88145,Limburg
711,GMD,8821154,M-Deurnest,M-Deurnesteenweg,Mortsel-Deurnesteenweg,mortsel-deurnesteenweg,B,stoptreinstation,51.1825,4.447222,
712,GMOG,8821238,M-Oude God,Mortsel-Oude God,Mortsel-Oude God,mortsel-oude-god,B,stoptreinstation,51.171111,4.455833,
336,MOUT,8774172,Moutiers-S,Moutiers-Salins,Moutiers-Salins-Brides,moutiers-salins-brides,F,stoptreinstation,45.48664,6.53105,
345,MUNCHH,8020347,München,München Hbf,München Hbf,munchen-hbf,D,megastation,48.140203336,11.5583467484,
346,MUNST,8021011,Münster,Münster (Westf.),Münster (Westf.) Hbf,munster-westf-hbf,D,knooppuntIntercitystation,51.956892,7.635895,
